"station","line","latitude","longitude","postcode","neighborhood","district","district_id"
"Hansaplatz","U9","52.517778","13.342222","10557","Tiergarten","Mitte","11001001"
"Haselhorst","U7","52.538889","13.232778","13599","Haselhorst","Spandau","11005005"
"Hausvogteiplatz","U2","52.513056","13.396667","10117","Mitte","Mitte","11001001"
"Hausvogteiplatz","U6","52.513056","13.396667","10117","Mitte","Mitte","11001001"
"Heidelberger Platz","U3","52.479986","13.311928","10713","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Heinrich-Heine-Straße","U8","52.510833","13.416389","10179","Mitte","Mitte","11001001"
"Hellersdorf","U5","52.536670","13.606390","12627","Hellersdorf","Marzahn-Hellersdorf","11010010"
"Hermannplatz","U7","52.486389","13.424444","10967","Neukölln","Neukölln","11008008"
"Hermannplatz","U8","52.486389","13.424444","10967","Neukölln","Neukölln","11008008"
"Hermannstraße","U7","52.467220","13.431940","","Neukölln","Neukölln","11008008"
"Hermannstraße","U6","52.467220","13.431940","","Neukölln","Neukölln","11008008"
"Hermannstraße","U8","52.467220","13.431940","","Neukölln","Neukölln","11008008"
"Hohenzollerndamm","U3","52.487220","13.312500","","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Hohenzollernplatz","U3","52.493889","13.325000","10717","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Hohenzollernplatz","U9","52.493889","13.325000","10717","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Holzhauser Straße","U6","52.575833","13.296111","13507","Tegel","Reinickendorf","11012012"
"Hönow","U5","52.538300","13.633900","12627","Hellersdorf","Marzahn-Hellersdorf","11010010"
"Innsbrucker Platz","U4","52.478600","13.343900","10827","Schöneberg","Tempelhof-Schöneberg","11007007"
"Jakob-Kaiser-Platz","U7","52.534444","13.293611","13627","Charlottenburg-Nord","Charlottenburg-Wilmersdorf","11004004"
"Jannowitzbrücke","U8","52.515656","13.418185","10179","Mitte","Mitte","11001001"
"Johannisthaler Chaussee","U7","52.429167","13.453333","12351","Gropiusstadt","Neukölln","11008008"
"Jungfernheide","U7","52.530964","13.300142","10589","Charlottenburg-Nord","Charlottenburg-Wilmersdorf","11004004"
